"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6439", "6439",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "7892", "7892",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "10622", "12282",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "18312", "18884",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "390", "390",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1885", "1894",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4165", "4278",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "8753", "8753",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "310", "310",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2163", "2422",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3877", "3877",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "752", "752",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "22887", "27120",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "26051", "26451",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5531", "5854",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6104", "6104",""
