"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank","Closing Rank" ,"Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "8346","16205" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "5952","17071" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "277","277" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2458","3505" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "2711","3237" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "4955","11282" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "4834","11498" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "484","484" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "707","2960" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2446","3956" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "113","113" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1996","8450" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "8306","8306" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "9028","11017" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "12865","17138" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "271","271" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1603","1766" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "2686","3097" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "63","63" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "2989","3741" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "5369","6736" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "151","151" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "1617","2088" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2374","2390" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "541","778" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1052","1052" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16489","18679" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "23231","23370" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3585","3865" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "12661","21272" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "20410","20410" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2995","3749" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6476","6476" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "11617","11617" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "13020","13373" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "20271","21233" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "390","390" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1934","1957" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4789","4908" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "8908","8908" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "310","310" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2163","2862" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4648","4648" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1132","1132" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "27250","32848" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "27444","28767" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5854","6138" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6188","6188" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "22351","30597" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "22251","23351" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2838","5096" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6382","6382" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "19308","22308" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "25890","30038" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3546","3574" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "5035","5035" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6476","7612" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "12332","12949" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3605","3661" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1840","1854" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "19682","24092" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "21154","24024" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "661","661" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5170","5223" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5040","5040" ,"NIT"
