"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","State","Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "198", "198","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "1461", "2109","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2606", "3012","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "462", "812","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1485", "1485","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST (PwD)", "Gender-Neutral", "37", "37","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16983", "20116","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "21470", "21470","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4823", "4903","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "12902", "21147","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "31609", "40718","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "4622", "5140","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6741", "6741","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "6872", "6872","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "11121", "14016","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "20893", "22062","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "575", "575","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2129", "2239","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "5049", "5293","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "7871", "7871","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2501", "2827","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4676", "4676","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1140", "1140","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST (PwD)", "Gender-Neutral", "45", "45","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "28005", "33719","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "34911", "35126","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "6845", "7109","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "8759", "8759","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "17886", "38019","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "41167", "47050","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "6375", "7741","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "8258", "8258","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "20623", "20623","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "11802", "21545","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "27336", "30087","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1193", "1193","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3422", "3474","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "5200", "5200","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6597", "7231","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "10974", "10974","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3909", "4170","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "5036", "5036","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1336", "1355","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2598", "2598","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "14933", "26835","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "28204", "32778","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "2409", "2409","Punjab","NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4315", "6149","Punjab","NIT"
